
Matthew 
1:1	A roll of the birth of Jesus Christ, son of David, son of Abraham. 
17:19	having also taken him, unto the Areopagus they brought him, saying, 'Are we able to know what is this new teaching that is spoken by thee, 
17:20	for certain strange things thou dost bring to our ears? we wish, then, to know what these things would wish to be;' 
17:21	and all Athenians, and the strangers sojourning, for nothing else were at leisure but to say something, and to hear some newer thing. 
17:22	And Paul, having stood in the midst of the Areopagus, said, 'Men, Athenians, in all things I perceive you as over-religious; 
17:23	for passing through and contemplating your objects of worship, I found also an erection on which had been inscribed: To God -- unknown; whom, therefore -- not knowing -- ye do worship, this One I announce to you. 
17:24	'God, who did make the world, and all things in it, this One, of heaven and of earth being Lord, in temples made with hands doth not dwell, 
17:25	neither by the hands of men is He served -- needing anything, He giving to all life, and breath, and all things; 
17:26	He made also of one blood every nation of men, to dwell upon all the face of the earth -- having ordained times before appointed, and the bounds of their dwellings -- 
17:27	to seek the Lord, if perhaps they did feel after Him and find, -- though, indeed, He is not far from each one of us, 
17:28	for in Him we live, and move, and are; as also certain of your poets have said: For of Him also we are offspring. 
17:29	'Being, therefore, offspring of God, we ought not to think the Godhead to be like to gold, or silver, or stone, graving of art and device of man; 
17:30	the times, indeed, therefore, of the ignorance God having overlooked, doth now command all men everywhere to reform, 
17:31	because He did set a day in which He is about to judge the world in righteousness, by a man whom He did ordain, having given assurance to all, having raised him out of the dead.' 
17:32	And having heard of a rising again of the dead, some, indeed, were mocking, but others said, 'We will hear thee again concerning this;' 
17:33	and so Paul went forth from the midst of them, 
17:34	and certain men having cleaved to him, did believe, among whom is also Dionysius the Areopagite, and a woman, by name Damaris, and others with them. 
18:1	And after these things, Paul having departed out of Athens, came to Corinth, 
18:2	and having found a certain Jew, by name Aquilas, of Pontus by birth, lately come from Italy, and Priscilla his wife -- because of Claudius having directed all the Jews to depart out of Rome -- he came to them, 
18:3	and because of being of the same craft, he did remain with them, and was working, for they were tent-makers as to craft; 
18:4	and he was reasoning in the synagogue every sabbath, persuading both Jews and Greeks. 
18:5	And when both Silas and Timotheus came down from Macedonia, Paul was pressed in the Spirit, testifying fully to the Jews Jesus the Christ; 
18:6	and on their resisting and speaking evil, having shaken his garments, he said unto them, 'Your blood is upon your head -- I am clean; henceforth to the nations I will go on.' 
18:7	And having departed thence, he went to the house of a certain one, by name Justus, a worshipper of God, whose house was adjoining the synagogue, 
18:8	and Crispus, the ruler of the synagogue did believe in the Lord with all his house, and many of the Corinthians hearing were believing, and they were being baptized. 
18:9	And the Lord said through a vision in the night to Paul, 'Be not afraid, but be speaking and thou may be not silent; 
18:10	because I am with thee, and no one shall set on thee to do thee evil; because I have much people in this city;' 
18:11	and he continued a year and six months, teaching among them the word of God. 
18:12	And Gallio being proconsul of Achaia, the Jews made a rush with one accord upon Paul, and brought him unto the tribunal, 
18:13	saying -- 'Against the law this one doth persuade men to worship God;' 
18:14	and Paul being about to open his mouth, Gallio said unto the Jews, 'If, indeed, then, it was anything unrighteous, or an act of wicked profligacy, O Jews, according to reason I had borne with you, 
18:15	but if it is a question concerning words and names, and of your law, look ye yourselves to it, for a judge of these things I do not wish to be,' 
18:16	and he drave them from the tribunal; 
18:17	and all the Greeks having taken Sosthenes, the chief man of the synagogue, were beating him before the tribunal, and not even for these things was Gallio caring. 
18:18	And Paul having remained yet a good many days, having taken leave of the brethren, was sailing to Syria -- and with him are Priscilla and Aquilas -- having shorn his head in Cenchera, for he had a vow; 
18:19	and he came down to Ephesus, and did leave them there, and he himself having entered into the synagogue did reason with the Jews: 
18:20	and they having requested him to remain a longer time with them, he did not consent, 
18:21	but took leave of them, saying, 'It behoveth me by all means the coming feast to keep at Jerusalem, and again I will return unto you -- God willing.' And he sailed from Ephesus, 
18:22	and having come down to Cesarea, having gone up, and having saluted the assembly, he went down to Antioch. 
18:23	And having made some stay he went forth, going through in order the region of Galatia and Phrygia, strengthening all the disciples. 
18:24	And a certain Jew, Apollos by name, an Alexandrian by birth, a man of eloquence, being mighty in the Writings, came to Ephesus, 
18:25	this one was instructed in the way of the Lord, and being fervent in the Spirit, was speaking and teaching exactly the things about the Lord, knowing only the baptism of John; 
18:26	this one also began to speak boldly in the synagogue, and Aquilas and Priscilla having heard of him, took him to them, and did more exactly expound to him the way of God, 
18:27	and he being minded to go through into Achaia, the brethren wrote to the disciples, having exhorted them to receive him, who having come, did help them much who have believed through the grace, 
18:28	for powerfully the Jews he was refuting publicly, shewing through the Writings Jesus to be the Christ. 
19:1	And it came to pass, in Apollos' being in Corinth, Paul having gone through the upper parts, came to Ephesus, and having found certain disciples, 
19:2	he said unto them, 'The Holy Spirit did ye receive -- having believed?' and they said unto him, 'But we did not even hear whether there is any Holy Spirit;' 
19:3	and he said unto them, 'To what, then, were ye baptized?' and they said, 'To John's baptism.' 
19:4	And Paul said, 'John, indeed, did baptize with a baptism of reformation, saying to the people that in him who is coming after him they should believe -- that is, in the Christ -- Jesus;' 
19:5	and they, having heard, were baptized -- to the name of the Lord Jesus, 
19:6	and Paul having laid on them his hands, the Holy Spirit came upon them, they were speaking also with tongues, and prophesying, 
19:7	and all the men were, as it were, twelve. 
19:8	And having gone into the synagogue, he was speaking boldly for three months, reasoning and persuading the things concerning the reign of God, 
19:9	and when certain were hardened and were disbelieving, speaking evil of the way before the multitude, having departed from them, he did separate the disciples, every day reasoning in the school of a certain Tyrannus. 
19:10	And this happened for two years so that all those dwelling in Asia did hear the word of the Lord Jesus, both Jews and Greeks, 
19:11	mighty works also -- not common -- was God working through the hands of Paul, 
19:12	so that even unto the ailing were brought from his body handkerchiefs or aprons, and the sicknesses departed from them; the evil spirits also went forth from them. 
19:13	And certain of the wandering exorcist Jews, took upon them to name over those having the evil spirits the name of the Lord Jesus, saying, 'We adjure you by Jesus, whom Paul doth preach;' 
19:14	and there were certain -- seven sons of Sceva, a Jew, a chief priest -- who are doing this thing; 
19:15	and the evil spirit, answering, said, 'Jesus I know, and Paul I am acquainted with; and ye -- who are ye?' 
19:16	And the man, in whom was the evil spirit, leaping upon them, and having overcome them, prevailed against them, so that naked and wounded they did flee out of that house, 
19:17	and this became known to all, both Jews and Greeks, who are dwelling at Ephesus, and fear fell upon them all, and the name of the Lord Jesus was being magnified, 
19:18	many also of those who did believe were coming, confessing and declaring their acts, 
19:19	and many of those who had practised the curious arts, having brought the books together, were burning them before all; and they reckoned together the prices of them, and found it five myriads of silverlings; 
19:20	so powerfully was the word of God increasing and prevailing. 
19:21	And when these things were fulfilled, Paul purposed in the Spirit, having gone through Macedonia and Achaia, to go on to Jerusalem, saying -- 'After my being there, it behoveth me also to see Rome;' 
19:22	and having sent to Macedonia two of those ministering to him -- Timotheus and Erastus -- he himself stayed a time in Asia. 
19:23	And there came, at that time, not a little stir about the way, 
19:24	for a certain one, Demetrius by name, a worker in silver, making silver sanctuaries of Artemis, was bringing to the artificers gain not a little, 
19:25	whom, having brought in a crowd together, and those who did work about such things, he said, 'Men, ye know that by this work we have our wealth; 
19:26	and ye see and hear, that not only at Ephesus, but almost in all Asia, this Paul, having persuaded, did turn away a great multitude, saying, that they are not gods who are made by hands; 
19:27	and not only is this department in danger for us of coming into disregard, but also, that of the great goddess Artemis the temple is to be reckoned for nothing, and also her greatness is about to be brought down, whom all Asia and the world doth worship.' 
19:28	And they having heard, and having become full of wrath, were crying out, saying, 'Great is the Artemis of the Ephesians!' 
19:29	and the whole city was filled with confusion, they rushed also with one accord into the theatre, having caught Gaius and Aristarchus, Macedonians, Paul's fellow-travellers. 
19:30	And on Paul's purposing to enter in unto the populace, the disciples were not suffering him, 
19:31	and certain also of the chief men of Asia, being his friends, having sent unto him, were entreating him not to venture himself into the theatre. 
19:32	Some indeed, therefore, were calling out one thing, and some another, for the assembly was confused, and the greater part did not know for what they were come together; 
19:33	and out of the multitude they put forward Alexander -- the Jews thrusting him forward -- and Alexander having beckoned with the hand, wished to make defence to the populace, 
19:34	and having known that he is a Jew, one voice came out of all, for about two hours, crying, 'Great is the Artemis of the Ephesians!' 
19:35	And the public clerk having quieted the multitude, saith, 'Men, Ephesians, why, who is the man that doth not know that the city of the Ephesians is a devotee of the great goddess Artemis, and of that which fell down from Zeus? 
19:36	these things, then, not being to be gainsaid, it is necessary for you to be quiet, and to do nothing rashly. 
19:37	'For ye brought these men, who are neither temple-robbers nor speaking evil of your goddess; 
19:38	if indeed, therefore, Demetrius and the artificers with him with anyone have a matter, court days are held, and there are proconsuls; let them accuse one another. 
19:39	'And if ye seek after anything concerning other matters, in the legal assembly it shall be determined; 
19:40	for we are also in peril of being accused of insurrection in regard to this day, there being no occasion by which we shall be able to give an account of this concourse;' 
19:41	and these things having said, he dismissed the assembly. 
20:1	And after the ceasing of the tumult, Paul having called near the disciples, and having embraced them, went forth to go on to Macedonia; 
20:2	and having gone through those parts, and having exhorted them with many words, he came to Greece; 
20:3	having made also three months' stay -- a counsel of the Jews having been against him -- being about to set forth to Syria, there came to him a resolution of returning through Macedonia. 
20:4	And there were accompanying him unto Asia, Sopater of Berea, and of Thessalonians Aristarchus and Secundus, and Gaius of Derbe, and Timotheus, and of Asiatics Tychicus and Trophimus; 
20:5	these, having gone before, did remain for us in Troas, 
20:6	and we sailed, after the days of the unleavened food, from Philippi, and came unto them to Troas in five days, where we abode seven days. 
20:7	And on the first of the week, the disciples having been gathered together to break bread, Paul was discoursing to them, about to depart on the morrow, he was also continuing the discourse till midnight, 
20:8	and there were many lamps in the upper chamber where they were gathered together, 
20:9	and there was sitting a certain youth, by name Eutychus, upon the window -- being borne down by a deep sleep, Paul discoursing long -- he having sunk down from the sleep, fell down from the third story, and was lifted up dead. 
20:10	And Paul, having gone down, fell upon him, and having embraced him, said, 'Make no tumult, for his life is in him;' 
20:11	and having come up, and having broken bread, and having tasted, for a long time also having talked -- till daylight, so he went forth, 
20:12	and they brought up the lad alive, and were comforted in no ordinary measure. 
20:13	And we having gone before unto the ship, did sail to Assos, thence intending to take in Paul, for so he had arranged, intending himself to go on foot; 
20:14	and when he met with us at Assos, having taken him up, we came to Mitylene, 
20:15	and thence having sailed, on the morrow we came over-against Chios, and the next day we arrived at Samos, and having remained in Trogyllium, on the following day we came to Miletus, 
20:16	for Paul decided to sail past Ephesus, that there may not be to him a loss of time in Asia, for he hasted, if it were possible for him, on the day of the Pentecost to be at Jerusalem. 
20:17	And from Miletus, having sent to Ephesus, he called for the elders of the assembly, 
20:18	and when they were come unto him, he said to them, 'Ye -- ye know from the first day in which I came to Asia, how, with you at all times I was; 
20:19	serving the Lord with all humility, and many tears, and temptations, that befell me in the counsels of the Jews against me; 
20:20	how nothing I did keep back of what things are profitable, not to declare to you, and to teach you publicly, and in every house, 
20:21	testifying fully both to Jews and Greeks, toward God reformation, and faith toward our Lord Jesus Christ. 
20:22	'And now, lo, I -- bound in the Spirit -- go on to Jerusalem, the things that shall befall me in it not knowing, 
20:23	save that the Holy Spirit in every city doth testify fully, saying, that for me bonds and tribulations remain; 
20:24	but I make account of none of these, neither do I count my life precious to myself, so that I finish my course with joy, and the ministration that I received from the Lord Jesus, to testify fully the good news of the grace of God. 
20:25	'And now, lo, I have known that no more shall ye see my face, -- ye all among whom I did go preaching the reign of God; 
20:26	wherefore I take you to witness this day, that I am clear from the blood of all, 
20:27	for I did not keep back from declaring to you all the counsel of God. 
20:28	'Take heed, therefore, to yourselves, and to all the flock, among which the Holy Spirit made you overseers, to feed the assembly of God that He acquired through His own blood, 
20:29	for I have known this, that there shall enter in, after my departing, grievous wolves unto you, not sparing the flock, 
20:30	and of your own selves there shall arise men, speaking perverse things, to draw away the disciples after them. 
20:31	'Therefore, watch, remembering that three years, night and day, I did not cease with tears warning each one; 
20:32	and now, I commend you, brethren, to God, and to the word of His grace, that is able to build up, and to give you an inheritance among all those sanctified. 
20:33	'The silver or gold or garments of no one did I covet; 
20:34	and ye yourselves know that to my necessities, and to those who were with me, minister did these hands; 
20:35	all things I did shew you, that, thus labouring, it behoveth us to partake with the ailing, to be mindful also of the words of the Lord Jesus, that he himself said, It is more blessed to give than to receive.' 
20:36	And these things having said, having bowed his knees, with them all, he did pray, 
20:37	and there came a great weeping to all, and having fallen upon the neck of Paul, they were kissing him, 
20:38	sorrowing most of all for the word that he had said -- that they are about no more to see his face; and they were accompanying him to the ship. 
21:1	And it came to pass, at our sailing, having been parted from them, having run direct, we came to Coos, and the succeeding day to Rhodes, and thence to Patara, 
21:2	and having found a ship passing over to Phenicia, having gone on board, we sailed, 
21:3	and having discovered Cyprus, and having left it on the left, we were sailing to Syria, and did land at Tyre, for there was the ship discharging the lading. 
21:4	And having found out the disciples, we tarried there seven days, and they said to Paul, through the Spirit, not to go up to Jerusalem; 
21:5	but when it came that we completed the days, having gone forth, we went on, all bringing us on the way, with women and children, unto the outside of the city, and having bowed the knees upon the shore, we prayed, 
21:6	and having embraced one another, we embarked in the ship, and they returned to their own friends. 
21:7	And we, having finished the course, from Tyre came down to Ptolemais, and having saluted the brethren, we remained one day with them; 
21:8	and on the morrow Paul and his company having gone forth, we came to Cesarea, and having entered into the house of Philip the evangelist -- who is of the seven -- we remained with him, 
21:9	and this one had four daughters, virgins, prophesying. 
21:10	And we remaining many more days, there came down a certain one from Judea, a prophet, by name Agabus, 
21:11	and he having come unto us, and having taken up the girdle of Paul, having bound also his own hands and feet, said, 'Thus saith the Holy Spirit, The man whose is this girdle -- so shall the Jews in Jerusalem bind, and they shall deliver him up to the hands of nations.' 
21:12	And when we heard these things, we called upon him -- both we, and those of that place -- not to go up to Jerusalem, 
21:13	and Paul answered, 'What do ye -- weeping, and crushing mine heart? for I, not only to be bound, but also to die at Jerusalem, am ready, for the name of the Lord Jesus;' 
21:14	and he not being persuaded, we were silent, saying, 'The will of the Lord be done.' 
21:15	And after these days, having taken our vessels, we were going up to Jerusalem, 
21:16	and there went also of the disciples from Cesarea with us, bringing with them him with whom we may lodge, a certain Mnason of Cyprus, an aged disciple. 
21:17	And we having come to Jerusalem, the brethren did gladly receive us, 
21:18	and on the morrow Paul was going in with us unto James, all the elders also came, 
21:19	and having saluted them, he was declaring, one by one, each of the things God did among the nations through his ministration, 
21:20	and they having heard, were glorifying the Lord. They said also to him, 'Thou seest, brother, how many myriads there are of Jews who have believed, and all are zealous of the law, 
21:21	and they are instructed concerning thee, that apostacy from Moses thou dost teach to all Jews among the nations, saying -- Not to circumcise the children, nor after the customs to walk; 
21:22	what then is it? certainly the multitude it behoveth to come together, for they will hear that thou hast come. 
21:23	'This, therefore, do that we say to thee: We have four men having a vow on themselves, 
21:24	these having taken, be purified with them, and be at expence with them, that they may shave the head, and all may know that the things of which they have been instructed concerning thee are nothing, but thou dost walk -- thyself also -- the law keeping. 
21:25	'And concerning those of the nations who have believed, we have written, having given judgment, that they observe no such thing, except to keep themselves both from idol-sacrifices, and blood, and a strangled thing, and whoredom.' 
21:26	Then Paul, having taken the men, on the following day, with them having purified himself, was entering into the temple, announcing the fulfilment of the days of the purification, till the offering was offered for each one of them. 
21:27	And, as the seven days were about to be fully ended, the Jews from Asia having beheld him in the temple, were stirring up all the multitude, and they laid hands upon him, 
21:28	crying out, 'Men, Israelites, help! this is the man who, against the people, and the law, and this place, all everywhere is teaching; and further, also, Greeks he brought into the temple, and hath defiled this holy place;' 
21:29	for they had seen before Trophimus, the Ephesian, in the city with him, whom they were supposing that Paul brought into the temple. 
21:30	All the city also was moved and there was a running together of the people, and having laid hold on Paul, they were drawing him out of the temple, and immediately were the doors shut, 
21:31	and they seeking to kill him, a rumour came to the chief captain of the band that all Jerusalem hath been thrown into confusion, 
21:32	who, at once, having taken soldiers and centurions, ran down upon them, and they having seen the chief captain and the soldiers, did leave off beating Paul. 
21:33	Then the chief captain, having come nigh, took him, and commanded him to be bound with two chains, and was inquiring who he may be, and what it is he hath been doing, 
21:34	and some were crying out one thing, and some another, among the multitude, and not being able to know the certainty because of the tumult, he commanded him to be carried to the castle, 
21:35	and when he came upon the steps, it happened he was borne by the soldiers, because of the violence of the multitude, 
21:36	for the crowd of the people was following after, crying, 'Away with him.' 
21:37	And Paul being about to be led into the castle, saith to the chief captain, 'Is it permitted to me to say anything unto thee?' and he said, 'Greek dost thou know? 
21:38	art not thou, then, the Egyptian who before these days made an uprising, and did lead into the desert the four thousand men of the assassins?' 
21:39	And Paul said, 'I, indeed, am a man, a Jew, of Tarsus of Cilicia, of no mean city a citizen; and I beseech thee, suffer me to speak unto the people.' 
21:40	And he having given him leave, Paul having stood upon the stairs, did beckon with the hand to the people, and there having been a great silence, he spake unto them in the Hebrew dialect, saying: 
22:1	'Men, brethren, and fathers, hear my defence now unto you;' -- 
22:2	and they having heard that in the Hebrew dialect he was speaking to them, gave the more silence, and he saith, -- 
22:3	'I, indeed, am a man, a Jew, having been born in Tarsus of Cilicia, and brought up in this city at the feet of Gamaliel, having been taught according to the exactitude of a law of the fathers, being zealous of God, as all ye are to-day. 
22:4	'And this way I persecuted unto death, binding and delivering up to prisons both men and women, 
22:5	as also the chief priest doth testify to me, and all the eldership; from whom also having received letters unto the brethren, to Damascus, I was going on, to bring also those there bound to Jerusalem that they might be punished, 
22:6	and it came to pass, in my going on and coming nigh to Damascus, about noon, suddenly out of the heaven there shone a great light round about me, 
22:7	I fell also to the ground, and I heard a voice saying to me, Saul, Saul, why me dost thou persecute? 
22:8	'And I answered, Who art thou, Lord? and he said unto me, I am Jesus the Nazarene whom thou dost persecute -- 
22:9	and they who are with me the light did see, and became afraid, and the voice they heard not of him who is speaking to me -- 
22:10	and I said, What shall I do, Lord? and the Lord said unto me, Having risen, go on to Damascus, and there it shall be told thee concerning all things that have been appointed for thee to do. 
22:11	'And when I did not see from the glory of that light, being led by the hand by those who are with me, I came to Damascus, 
22:12	and a certain one, Ananias, a pious man according to the law, being testified to by all the Jews dwelling there, 
22:13	having come unto me and stood by me, said to me, Saul, brother, look up; and I the same hour did look up to him; 
22:14	and he said, The God of our fathers did choose thee beforehand to know His will, and to see the Righteous One, and to hear a voice out of his mouth, 
22:15	because thou shalt be his witness unto all men of what thou hast seen and heard; 
22:16	and now, why tarriest thou? having risen, baptize thyself, and wash away thy sins, calling upon the name of the Lord. 
22:17	'And it came to pass when I returned to Jerusalem, and while I was praying in the temple, I came into a trance, 
22:18	and I saw him saying to me, Haste and go forth in haste out of Jerusalem, because they will not receive thy testimony concerning me; 
22:19	and I said, Lord, they -- they know that I was imprisoning and was scourging in every synagogue those believing on thee; 
22:20	and when the blood of thy witness Stephen was being poured forth, I also was standing by and assenting to his death, and keeping the garments of those putting him to death; 
22:21	and he said unto me, Go, because to nations far off I will send thee.' 
22:22	And they were hearing him unto this word, and they lifted up their voice, saying, 'Away from the earth with such an one; for it is not fit for him to live.' 
22:23	And they crying out and casting up their garments, and throwing dust into the air, 
22:24	the chief captain commanded him to be brought into the castle, saying, 'By scourges let him be examined;' that he might know for what cause they were crying so against him. 
22:25	And as he was stretching him with the thongs, Paul said unto the centurion who was standing by, 'A man, a Roman, uncondemned -- is it lawful to you to scourge;' 
22:26	and the centurion having heard, having gone near to the chief captain, told, saying, 'Take heed what thou art about to do, for this man is a Roman;' 
22:27	and the chief captain having come near, said to him, 'Tell me, art thou a Roman?' and he said, 'Yes;' 
22:28	and the chief captain answered, 'I, with a great sum, did obtain this citizenship;' but Paul said, 'But I have been even born so.' 
22:29	Immediately, therefore, they departed from him who are about to examine him, and the chief captain also was afraid, having learned that he is a Roman, and because he had bound him, 
22:30	and on the morrow, intending to know the certainty wherefore he is accused by the Jews, he did loose him from the bonds, and commanded the chief priests and all their sanhedrim to come, and having brought down Paul, he set him before them. 
23:1	And Paul having earnestly beheld the sanhedrim, said, 'Men, brethren, I in all good conscience have lived to God unto this day;' 
23:2	and the chief priest Ananias commanded those standing by him to smite him on the mouth, 
23:3	then Paul said unto him, 'God is about to smite thee, thou whitewashed wall, and thou -- thou dost sit judging me according to the law, and, violating law, dost order me to be smitten!' 
23:4	And those who stood by said, 'The chief priest of God dost thou revile?' 
23:5	and Paul said, 'I did not know, brethren, that he is chief priest: for it hath been written, Of the ruler of thy people thou shalt not speak evil;' 
23:6	and Paul having known that the one part are Sadducees, and the other Pharisees, cried out in the sanhedrim, 'Men, brethren, I am a Pharisee -- son of a Pharisee -- concerning hope and rising again of dead men I am judged.' 
23:7	And he having spoken this, there came a dissension of the Pharisees and of the Sadducees, and the crowd was divided, 
23:8	for Sadducees, indeed, say there is no rising again, nor messenger, nor spirit, but Pharisees confess both. 
23:9	And there came a great cry, and the scribes of the Pharisees' part having arisen, were striving, saying, 'No evil do we find in this man; and if a spirit spake to him, or a messenger, we may not fight against God;' 
23:10	and a great dissension having come, the chief captain having been afraid lest Paul may be pulled to pieces by them, commanded the soldiery, having gone down, to take him by force out of the midst of them, and to bring him to the castle. 
23:11	And on the following night, the Lord having stood by him, said, 'Take courage, Paul, for as thou didst fully testify the things concerning me at Jerusalem, so it behoveth thee also at Rome to testify.' 
23:12	And day having come, certain of the Jews having made a concourse, did anathematize themselves, saying neither to eat nor to drink till they may kill Paul; 
23:13	and they were more than forty who made this conspiracy by oath, 
23:14	who having come near to the chief priests and to the elders said, 'With an anathema we did anathematize ourselves -- to taste nothing till we have killed Paul; 
23:15	now, therefore, ye, signify ye to the chief captain, with the sanhedrim, that to-morrow he may bring him down unto you, as being about to know more exactly the things concerning him; and we, before his coming nigh, are ready to put him to death.' 
23:16	And the son of Paul's sister having heard of the lying in wait, having gone and entered into the castle, told Paul, 
23:17	and Paul having called near one of the centurions, said, 'This young man lead unto the chief captain, for he hath something to tell him.' 
23:18	He indeed, then, having taken him, brought him unto the chief captain, and saith, 'The prisoner Paul, having called me near, asked me this young man to bring unto thee, having something to say to thee.' 
23:19	And the chief captain having taken him by the hand, and having withdrawn by themselves, inquired, 'What is that which thou hast to tell me?' 
23:20	and he said -- 'The Jews agreed to request thee, that to-morrow to the sanhedrim thou may bring down Paul, as being about to enquire something more exactly concerning him; 
23:21	thou, therefore, may thou not yield to them, for there lie in wait for him of them more than forty men, who did anathematize themselves -- not to eat nor to drink till they kill him, and now they are ready, waiting for the promise from thee.' 
23:22	The chief captain, then, indeed, let the young man go, having charged him to tell no one, 'that these things thou didst shew unto me;' 
23:23	and having called near a certain two of the centurions, he said, 'Make ready soldiers two hundred, that they may go on unto Caesarea, and horsemen seventy, and spearmen two hundred, from the third hour of the night; 
23:24	beasts also provide, that, having set Paul on, they may bring him safe unto Felix the governor;' 
23:25	he having written a letter after this description: 
23:26	'Claudius Lysias, to the most noble governor Felix, hail: 
23:27	This man having been taken by the Jews, and being about to be killed by them -- having come with the soldiery, I rescued him, having learned that he is a Roman; 
23:28	and, intending to know the cause for which they were accusing him, I brought him down to their sanhedrim, 
23:29	whom I found accused concerning questions of their law, and having no accusation worthy of death or bonds; 
23:30	and a plot having been intimated to me against this man -- about to be of the Jews -- at once I sent unto thee, having given command also to the accusers to say the things against him before thee; be strong.' 
23:31	Then, indeed, the soldiers according to that directed them, having taken up Paul, brought him through the night to Antipatris, 
23:32	and on the morrow, having suffered the horsemen to go on with him, they returned to the castle; 
23:33	those having entered into Caesarea, and delivered the letter to the governor, did present also Paul to him. 
23:34	And the governor having read it, and inquired of what province he is, and understood that he is from Cilicia; 
23:35	'I will hear thee -- said he -- when thine accusers also may have come;' he also commanded him to be kept in the praetorium of Herod. 
24:1	And after five days came down the chief priest Ananias, with the elders, and a certain orator -- Tertullus, and they made manifest to the governor the things against Paul; 
24:2	and he having been called, Tertullus began to accuse him, saying, 'Much peace enjoying through thee, and worthy deeds being done to this nation through thy forethought, 
24:3	always, also, and everywhere we receive it, most noble Felix, with all thankfulness; 
24:4	and that I may not be further tedious to thee, I pray thee to hear us concisely in thy gentleness; 
24:5	for having found this man a pestilence, and moving a dissension to all the Jews through the world -- a ringleader also of the sect of the Nazarenes -- 
24:6	who also the temple did try to profane, whom also we took, and according to our law did wish to judge, 
24:7	and Lysias the chief captain having come near, with much violence, out of our hands did take away, 
24:8	having commanded his accusers to come to thee, from whom thou may be able, thyself having examined, to know concerning all these things of which we accuse him;' 
24:9	and the Jews also agreed, professing these things to be so. 
24:10	And Paul answered -- the governor having beckoned to him to speak -- 'Knowing that for many years thou hast been a judge to this nation, the more cheerfully the things concerning myself I do answer; 
24:11	thou being able to know that it is not more than twelve days to me since I went up to worship in Jerusalem, 
24:12	and neither in the temple did they find me reasoning with anyone, or making a dissension of the multitude, nor in the synagogues, nor in the city; 
24:13	nor are they able to prove against me the things concerning which they now accuse me. 
24:14	'And I confess this to thee, that, according to the way that they call a sect, so serve I the God of the fathers, believing all things that in the law and the prophets have been written, 
24:15	having hope toward God, which they themselves also wait for, that there is about to be a rising again of the dead, both of righteous and unrighteous; 
24:16	and in this I do exercise myself, to have a conscience void of offence toward God and men always. 
24:17	'And after many years I came, about to do kind acts to my nation, and offerings, 
24:18	in which certain Jews from Asia did find me purified in the temple, not with multitude, nor with tumult, 
24:19	whom it behoveth to be present before thee, and to accuse, if they had anything against me, 
24:20	or let these same say if they found any unrighteousness in me in my standing before the sanhedrim, 
24:21	except concerning this one voice, in which I cried, standing among them -- Concerning a rising again of the dead I am judged to-day by you.' 
24:22	And having heard these things, Felix delayed them -- having known more exactly of the things concerning the way -- saying, 'When Lysias the chief captain may come down, I will know fully the things concerning you;' 
24:23	having given also a direction to the centurion to keep Paul, to let him also have liberty, and to forbid none of his own friends to minister or to come near to him. 
24:24	And after certain days, Felix having come with Drusilla his wife, being a Jewess, he sent for Paul, and heard him concerning the faith toward Christ, 
24:25	and he reasoning concerning righteousness, and temperance, and the judgment that is about to be, Felix, having become afraid, answered, 'For the present be going, and having got time, I will call for thee;' 
24:26	and at the same time also hoping that money shall be given to him by Paul, that he may release him, therefore, also sending for him the oftener, he was conversing with him; 
24:27	and two years having been fulfilled, Felix received a successor, Porcius Festus; Felix also willing to lay a favour on the Jews, left Paul bound. 
25:1	Festus, therefore, having come into the province, after three days went up to Jerusalem from Caesarea, 
25:2	and the chief priest and the principal men of the Jews made manifest to him the things against Paul, and were calling on him, 
25:3	asking favour against him, that he may send for him to Jerusalem, making an ambush to put him to death in the way. 
25:4	Then, indeed, Festus answered that Paul is kept in Caesarea, and himself is about speedily to go on thither, 
25:5	'Therefore those able among you -- saith he -- having come down together, if there be anything in this man -- let them accuse him;' 
25:6	and having tarried among them more than ten days, having gone down to Caesarea, on the morrow having sat upon the tribunal, he commanded Paul to be brought; 
25:7	and he having come, there stood round about the Jews who have come down from Jerusalem -- many and weighty charges they are bringing against Paul, which they were not able to prove, 
25:8	he making defence -- 'Neither in regard to the law of the Jews, nor in regard to the temple, nor in regard to Caesar -- did I commit any sin.' 
25:9	And Festus willing to lay on the Jews a favour, answering Paul, said, 'Art thou willing, to Jerusalem having gone up, there concerning these things to be judged before me?' 
25:10	and Paul said, 'At the tribunal of Caesar I am standing, where it behoveth me to be judged; to Jews I did no unrighteousness, as thou dost also very well know; 
25:11	for if indeed I am unrighteous, and anything worthy of death have done, I deprecate not to die; and if there is none of the things of which these accuse me, no one is able to make a favour of me to them; to Caesar I appeal!' 
25:12	then Festus, having communed with the council, answered, 'To Caesar thou hast appealed; to Caesar thou shalt go.' 
25:13	And certain days having passed, Agrippa the king, and Bernice, came down to Caesarea saluting Festus, 
25:14	and as they were continuing there more days, Festus submitted to the king the things concerning Paul, saying, 'There is a certain man, left by Felix, a prisoner, 
25:15	about whom, in my being at Jerusalem, the chief priests and the elders of the Jews laid information, asking a decision against him, 
25:16	unto whom I answered, that it is not a custom of Romans to make a favour of any man to die, before that he who is accused may have the accusers face to face, and may receive place of defence in regard to the charge laid against him. 
25:17	'They, therefore, having come together -- I, making no delay, on the succeeding day having sat upon the tribunal, did command the man to be brought, 
25:18	concerning whom the accusers, having stood up, were bringing against him no accusation of the things I was thinking of, 
