
Nehemiah 
1:1	λόγοι Νεεμια υἱοῦ Αχαλια καὶ ἐγένετο ἐν μηνὶ Χασεηλου ἔτους εἰκοστοῦ καὶ ἐγὼ ἤμην ἐν Σουσαν αβιρα 
9:6	καὶ εἶπεν Εσδρας σὺ εἶ αὐτὸς κύριος μόνος σὺ ἐποίησας τὸν οὐρανὸν καὶ τὸν οὐρανὸν τοῦ οὐρανοῦ καὶ πᾶσαν τὴν στάσιν αὐτῶν τὴν γῆν καὶ πάντα ὅσα ἐστὶν ἐν αὐτῇ τὰς θαλάσσας καὶ πάντα τὰ ἐν αὐταῖς καὶ σὺ ζωοποιεῖς τὰ πάντα καὶ σοὶ προσκυνοῦσιν αἱ στρατιαὶ τῶν οὐρανῶν 
9:7	σὺ εἶ κύριος ὁ θεός σὺ ἐξελέξω ἐν Αβραμ καὶ ἐξήγαγες αὐτὸν ἐκ τῆς χώρας τῶν Χαλδαίων καὶ ἐπέθηκας αὐτῷ ὄνομα Αβρααμ 
9:8	καὶ εὗρες τὴν καρδίαν αὐτοῦ πιστὴν ἐνώπιόν σου καὶ διέθου πρὸς αὐτὸν διαθήκην δοῦναι αὐτῷ τὴν γῆν τῶν Χαναναίων καὶ Χετταίων καὶ Αμορραίων καὶ Φερεζαίων καὶ Ιεβουσαίων καὶ Γεργεσαίων καὶ τῷ σπέρματι αὐτοῦ καὶ ἔστησας τοὺς λόγους σου ὅτι δίκαιος σύ 
9:9	καὶ εἶδες τὴν ταπείνωσιν τῶν πατέρων ἡμῶν ἐν Αἰγύπτῳ καὶ τὴν κραυγὴν αὐτῶν ἤκουσας ἐπὶ θάλασσαν ἐρυθράν 
9:10	καὶ ἔδωκας σημεῖα ἐν Αἰγύπτῳ ἐν Φαραω καὶ ἐν πᾶσιν τοῖς παισὶν αὐτοῦ καὶ ἐν παντὶ τῷ λαῷ τῆς γῆς αὐτοῦ ὅτι ἔγνως ὅτι ὑπερηφάνησαν ἐπ᾽ αὐτούς καὶ ἐποίησας σεαυτῷ ὄνομα ὡς ἡ ἡμέρα αὕτη 
9:11	καὶ τὴν θάλασσαν ἔρρηξας ἐνώπιον αὐτῶν καὶ παρήλθοσαν ἐν μέσῳ τῆς θαλάσσης ἐν ξηρασίᾳ καὶ τοὺς καταδιώξαντας αὐτοὺς ἔρριψας εἰς βυθὸν ὡσεὶ λίθον ἐν ὕδατι σφοδρῷ 
9:12	καὶ ἐν στύλῳ νεφέλης ὡδήγησας αὐτοὺς ἡμέρας καὶ ἐν στύλῳ πυρὸς τὴν νύκτα τοῦ φωτίσαι αὐτοῖς τὴν ὁδόν ἐν ᾗ πορεύσονται ἐν αὐτῇ 
9:13	καὶ ἐπὶ ὄρος Σινα κατέβης καὶ ἐλάλησας πρὸς αὐτοὺς ἐξ οὐρανοῦ καὶ ἔδωκας αὐτοῖς κρίματα εὐθέα καὶ νόμους ἀληθείας προστάγματα καὶ ἐντολὰς ἀγαθάς 
9:14	καὶ τὸ σάββατόν σου τὸ ἅγιον ἐγνώρισας αὐτοῖς ἐντολὰς καὶ προστάγματα καὶ νόμον ἐνετείλω αὐτοῖς ἐν χειρὶ Μωυσῆ δούλου σου 
9:15	καὶ ἄρτον ἐξ οὐρανοῦ ἔδωκας αὐτοῖς εἰς σιτοδείαν αὐτῶν καὶ ὕδωρ ἐκ πέτρας ἐξήνεγκας αὐτοῖς εἰς δίψαν αὐτῶν καὶ εἶπας αὐτοῖς εἰσελθεῖν κληρονομῆσαι τὴν γῆν ἐφ᾽ ἣν ἐξέτεινας τὴν χεῖρά σου δοῦναι αὐτοῖς 
9:16	καὶ αὐτοὶ καὶ οἱ πατέρες ἡμῶν ὑπερηφανεύσαντο καὶ ἐσκλήρυναν τὸν τράχηλον αὐτῶν καὶ οὐκ ἤκουσαν τῶν ἐντολῶν σου 
9:17	καὶ ἀνένευσαν τοῦ εἰσακοῦσαι καὶ οὐκ ἐμνήσθησαν τῶν θαυμασίων σου ὧν ἐποίησας μετ᾽ αὐτῶν καὶ ἐσκλήρυναν τὸν τράχηλον αὐτῶν καὶ ἔδωκαν ἀρχὴν ἐπιστρέψαι εἰς δουλείαν αὐτῶν ἐν Αἰγύπτῳ καὶ σὺ θεὸς ἐλεήμων καὶ οἰκτίρμων μακρόθυμος καὶ πολυέλεος καὶ οὐκ ἐγκατέλιπες αὐτούς 
9:18	ἔτι δὲ καὶ ἐποίησαν ἑαυτοῖς μόσχον χωνευτὸν καὶ εἶπαν οὗτοι οἱ θεοὶ οἱ ἐξαγαγόντες ἡμᾶς ἐξ Αἰγύπτου καὶ ἐποίησαν παροργισμοὺς μεγάλους 
9:19	καὶ σὺ ἐν οἰκτιρμοῖς σου τοῖς πολλοῖς οὐκ ἐγκατέλιπες αὐτοὺς ἐν τῇ ἐρήμῳ τὸν στῦλον τῆς νεφέλης οὐκ ἐξέκλινας ἀπ᾽ αὐτῶν ἡμέρας ὁδηγῆσαι αὐτοὺς ἐν τῇ ὁδῷ καὶ τὸν στῦλον τοῦ πυρὸς τὴν νύκτα φωτίζειν αὐτοῖς τὴν ὁδόν ἐν ᾗ πορεύσονται ἐν αὐτῇ 
9:20	καὶ τὸ πνεῦμά σου τὸ ἀγαθὸν ἔδωκας συνετίσαι αὐτοὺς καὶ τὸ μαννα σοῦ οὐκ ἀφυστέρησας ἀπὸ στόματος αὐτῶν καὶ ὕδωρ ἔδωκας αὐτοῖς τῷ δίψει αὐτῶν 
9:21	καὶ τεσσαράκοντα ἔτη διέθρεψας αὐτοὺς ἐν τῇ ἐρήμῳ οὐχ ὑστέρησαν ἱμάτια αὐτῶν οὐκ ἐπαλαιώθησαν καὶ πόδες αὐτῶν οὐ διερράγησαν 
9:22	καὶ ἔδωκας αὐτοῖς βασιλείας καὶ λαοὺς καὶ διεμέρισας αὐτοῖς καὶ ἐκληρονόμησαν τὴν γῆν Σηων βασιλέως Εσεβων καὶ τὴν γῆν Ωγ βασιλέως τοῦ Βασαν 
9:23	καὶ τοὺς υἱοὺς αὐτῶν ἐπλήθυνας ὡς τοὺς ἀστέρας τοῦ οὐρανοῦ καὶ εἰσήγαγες αὐτοὺς εἰς τὴν γῆν ἣν εἶπας τοῖς πατράσιν αὐτῶν καὶ ἐκληρονόμησαν αὐτήν 
9:24	καὶ ἐξέτριψας ἐνώπιον αὐτῶν τοὺς κατοικοῦντας τὴν γῆν τῶν Χαναναίων καὶ ἔδωκας αὐτοὺς εἰς τὰς χεῖρας αὐτῶν καὶ τοὺς βασιλεῖς αὐτῶν καὶ τοὺς λαοὺς τῆς γῆς ποιῆσαι αὐτοῖς ὡς ἀρεστὸν ἐνώπιον αὐτῶν 
9:25	καὶ κατελάβοσαν πόλεις ὑψηλὰς καὶ ἐκληρονόμησαν οἰκίας πλήρεις πάντων ἀγαθῶν λάκκους λελατομημένους ἀμπελῶνας καὶ ἐλαιῶνας καὶ πᾶν ξύλον βρώσιμον εἰς πλῆθος καὶ ἐφάγοσαν καὶ ἐνεπλήσθησαν καὶ ἐλιπάνθησαν καὶ ἐτρύφησαν ἐν ἀγαθωσύνῃ σου τῇ μεγάλῃ 
9:26	καὶ ἤλλαξαν καὶ ἀπέστησαν ἀπὸ σοῦ καὶ ἔρριψαν τὸν νόμον σου ὀπίσω σώματος αὐτῶν καὶ τοὺς προφήτας σου ἀπέκτειναν οἳ διεμαρτύραντο ἐν αὐτοῖς ἐπιστρέψαι αὐτοὺς πρὸς σέ καὶ ἐποίησαν παροργισμοὺς μεγάλους 
9:27	καὶ ἔδωκας αὐτοὺς ἐν χειρὶ θλιβόντων αὐτούς καὶ ἔθλιψαν αὐτούς καὶ ἀνεβόησαν πρὸς σὲ ἐν καιρῷ θλίψεως αὐτῶν καὶ σὺ ἐξ οὐρανοῦ σου ἤκουσας καὶ ἐν οἰκτιρμοῖς σου τοῖς μεγάλοις ἔδωκας αὐτοῖς σωτῆρας καὶ ἔσωσας αὐτοὺς ἐκ χειρὸς θλιβόντων αὐτούς 
9:28	καὶ ὡς ἀνεπαύσαντο ἐπέστρεψαν ποιῆσαι τὸ πονηρὸν ἐνώπιόν σου καὶ ἐγκατέλιπες αὐτοὺς εἰς χεῖρας ἐχθρῶν αὐτῶν καὶ κατῆρξαν ἐν αὐτοῖς καὶ πάλιν ἀνεβόησαν πρὸς σέ καὶ σὺ ἐξ οὐρανοῦ εἰσήκουσας καὶ ἐρρύσω αὐτοὺς ἐν οἰκτιρμοῖς σου πολλοῖς 
9:29	καὶ ἐπεμαρτύρω αὐτοῖς ἐπιστρέψαι αὐτοὺς εἰς τὸν νόμον σου καὶ οὐκ ἤκουσαν ἀλλὰ ἐν ταῖς ἐντολαῖς σου καὶ ἐν τοῖς κρίμασί σου ἡμάρτοσαν ἃ ποιήσας αὐτὰ ἄνθρωπος ζήσεται ἐν αὐτοῖς καὶ ἔδωκαν νῶτον ἀπειθοῦντα καὶ τράχηλον αὐτῶν ἐσκλήρυναν καὶ οὐκ ἤκουσαν 
9:30	καὶ εἵλκυσας ἐπ᾽ αὐτοὺς ἔτη πολλὰ καὶ ἐπεμαρτύρω αὐτοῖς ἐν πνεύματί σου ἐν χειρὶ προφητῶν σου καὶ οὐκ ἠνωτίσαντο καὶ ἔδωκας αὐτοὺς ἐν χειρὶ λαῶν τῆς γῆς 
9:31	καὶ σὺ ἐν οἰκτιρμοῖς σου τοῖς πολλοῖς οὐκ ἐποίησας αὐτοὺς συντέλειαν καὶ οὐκ ἐγκατέλιπες αὐτούς ὅτι ἰσχυρὸς εἶ καὶ ἐλεήμων καὶ οἰκτίρμων 
9:32	καὶ νῦν ὁ θεὸς ἡμῶν ὁ ἰσχυρὸς ὁ μέγας ὁ κραταιὸς καὶ ὁ φοβερὸς φυλάσσων τὴν διαθήκην σου καὶ τὸ ἔλεός σου μὴ ὀλιγωθήτω ἐνώπιόν σου πᾶς ὁ μόχθος ὃς εὗρεν ἡμᾶς καὶ τοὺς βασιλεῖς ἡμῶν καὶ τοὺς ἄρχοντας ἡμῶν καὶ τοὺς ἱερεῖς ἡμῶν καὶ τοὺς προφήτας ἡμῶν καὶ τοὺς πατέρας ἡμῶν καὶ ἐν παντὶ τῷ λαῷ σου ἀπὸ ἡμερῶν βασιλέων Ασσουρ καὶ ἕως τῆς ἡμέρας ταύτης 
9:33	καὶ σὺ δίκαιος ἐπὶ πᾶσι τοῖς ἐρχομένοις ἐφ᾽ ἡμᾶς ὅτι ἀλήθειαν ἐποίησας καὶ ἡμεῖς ἐξημάρτομεν 
9:34	καὶ οἱ βασιλεῖς ἡμῶν καὶ οἱ ἄρχοντες ἡμῶν καὶ οἱ ἱερεῖς ἡμῶν καὶ οἱ πατέρες ἡμῶν οὐκ ἐποίησαν τὸν νόμον σου καὶ οὐ προσέσχον τῶν ἐντολῶν σου καὶ τὰ μαρτύριά σου ἃ διεμαρτύρω αὐτοῖς 
9:35	καὶ αὐτοὶ ἐν βασιλείᾳ σου καὶ ἐν ἀγαθωσύνῃ σου τῇ πολλῇ ᾗ ἔδωκας αὐτοῖς καὶ ἐν τῇ γῇ τῇ πλατείᾳ καὶ λιπαρᾷ ᾗ ἔδωκας ἐνώπιον αὐτῶν οὐκ ἐδούλευσάν σοι καὶ οὐκ ἀπέστρεψαν ἀπὸ ἐπιτηδευμάτων αὐτῶν τῶν πονηρῶν 
9:36	ἰδού ἐσμεν σήμερον δοῦλοι καὶ ἡ γῆ ἣν ἔδωκας τοῖς πατράσιν ἡμῶν φαγεῖν τὸν καρπὸν αὐτῆς 
9:37	τοῖς βασιλεῦσιν οἷς ἔδωκας ἐφ᾽ ἡμᾶς ἐν ἁμαρτίαις ἡμῶν καὶ ἐπὶ τὰ σώματα ἡμῶν ἐξουσιάζουσιν καὶ ἐν κτήνεσιν ἡμῶν ὡς ἀρεστὸν αὐτοῖς καὶ ἐν θλίψει μεγάλῃ ἐσμέν 
9:38	καὶ ἐν πᾶσι τούτοις ἡμεῖς διατιθέμεθα πίστιν καὶ γράφομεν καὶ ἐπισφραγίζουσιν πάντες ἄρχοντες ἡμῶν Λευῖται ἡμῶν ἱερεῖς ἡμῶν 
10:1	καὶ ἐπὶ τῶν σφραγιζόντων Νεεμιας υἱὸς Αχαλια καὶ Σεδεκιας 
10:2	υἱὸς Σαραια καὶ Αζαρια καὶ Ιερμια 
10:3	Φασουρ Αμαρια Μελχια 
10:4	Ατους Σεβανι Μαλουχ 
10:5	Ιραμ Μεραμωθ Αβδια 
10:6	Δανιηλ Γαναθων Βαρουχ 
10:7	Μεσουλαμ Αβια Μιαμιν 
10:8	Μααζια Βελγαι Σαμαια οὗτοι ἱερεῖς 
10:9	καὶ οἱ Λευῖται Ἰησοῦς υἱὸς Αζανια Βαναιου ἀπὸ υἱῶν Ηναδαδ Καδμιηλ 
10:10	καὶ οἱ ἀδελφοὶ αὐτοῦ Σαβανια Ωδουια Καλιτα Φελεϊα Αναν 
10:11	Μιχα Ροωβ Εσεβιας 
10:12	Ζαχωρ Σαραβια Σεβανια 
10:13	Ωδουια υἱοὶ Βανουναι 
10:14	ἄρχοντες τοῦ λαοῦ Φορος Φααθμωαβ Ηλαμ Ζαθουια υἱοὶ 
10:15	Βανι Ασγαδ Βηβαι 
10:16	Εδανια Βαγοι Ηδιν 
10:17	Ατηρ Εζεκια Αζουρ 
10:18	Οδουια Ησαμ Βησι 
10:19	Αριφ Αναθωθ Νωβαι 
10:20	Μαγαφης Μεσουλαμ Ηζιρ 
10:21	Μεσωζεβηλ Σαδδουκ Ιεδδουα 
10:22	Φαλτια Αναν Αναια 
10:23	Ωσηε Ανανια Ασουβ 
10:24	Αλωης Φαλαϊ Σωβηκ 
10:25	Ραουμ Εσαβανα Μαασαια 
10:26	καὶ Αϊα Αιναν Ηναν 
10:27	Μαλουχ Ηραμ Βαανα 
10:28	καὶ οἱ κατάλοιποι τοῦ λαοῦ οἱ ἱερεῖς οἱ Λευῖται οἱ πυλωροί οἱ ᾄδοντες οἱ ναθινιμ καὶ πᾶς ὁ προσπορευόμενος ἀπὸ λαῶν τῆς γῆς πρὸς νόμον τοῦ θεοῦ γυναῖκες αὐτῶν υἱοὶ αὐτῶν θυγατέρες αὐτῶν πᾶς ὁ εἰδὼς καὶ συνίων 
10:29	ἐνίσχυον ἐπὶ τοὺς ἀδελφοὺς αὐτῶν κατηράσαντο αὐτοὺς καὶ εἰσήλθοσαν ἐν ἀρᾷ καὶ ἐν ὅρκῳ τοῦ πορεύεσθαι ἐν νόμῳ τοῦ θεοῦ ὃς ἐδόθη ἐν χειρὶ Μωυσῆ δούλου τοῦ θεοῦ καὶ φυλάσσεσθαι καὶ ποιεῖν πάσας τὰς ἐντολὰς κυρίου ἡμῶν καὶ κρίματα αὐτοῦ 
10:30	καὶ τοῦ μὴ δοῦναι θυγατέρας ἡμῶν τοῖς λαοῖς τῆς γῆς καὶ τὰς θυγατέρας αὐτῶν οὐ λημψόμεθα τοῖς υἱοῖς ἡμῶν 
10:31	καὶ λαοὶ τῆς γῆς οἱ φέροντες τοὺς ἀγορασμοὺς καὶ πᾶσαν πρᾶσιν ἐν ἡμέρᾳ τοῦ σαββάτου ἀποδόσθαι οὐκ ἀγορῶμεν παρ᾽ αὐτῶν ἐν σαββάτῳ καὶ ἐν ἡμέρᾳ ἁγίᾳ καὶ ἀνήσομεν τὸ ἔτος τὸ ἕβδομον καὶ ἀπαίτησιν πάσης χειρός 
10:32	καὶ στήσομεν ἐφ᾽ ἡμᾶς ἐντολὰς δοῦναι ἐφ᾽ ἡμᾶς τρίτον τοῦ διδράχμου κατ᾽ ἐνιαυτὸν εἰς δουλείαν οἴκου θεοῦ ἡμῶν 
10:33	εἰς ἄρτους τοῦ προσώπου καὶ θυσίαν τοῦ ἐνδελεχισμοῦ καὶ εἰς ὁλοκαύτωμα τοῦ ἐνδελεχισμοῦ τῶν σαββάτων τῶν νουμηνιῶν εἰς τὰς ἑορτὰς καὶ εἰς τὰ ἅγια καὶ τὰ περὶ ἁμαρτίας ἐξιλάσασθαι περὶ Ισραηλ καὶ εἰς ἔργα οἴκου θεοῦ ἡμῶν 
10:34	καὶ κλήρους ἐβάλομεν περὶ κλήρου ξυλοφορίας οἱ ἱερεῖς καὶ οἱ Λευῖται καὶ ὁ λαός ἐνέγκαι εἰς οἶκον θεοῦ ἡμῶν εἰς οἶκον πατριῶν ἡμῶν εἰς καιροὺς ἀπὸ χρόνων ἐνιαυτὸν κατ᾽ ἐνιαυτόν ἐκκαῦσαι ἐπὶ τὸ θυσιαστήριον κυρίου θεοῦ ἡμῶν ὡς γέγραπται ἐν τῷ νόμῳ 
10:35	καὶ ἐνέγκαι τὰ πρωτογενήματα τῆς γῆς ἡμῶν καὶ πρωτογενήματα καρποῦ παντὸς ξύλου ἐνιαυτὸν κατ᾽ ἐνιαυτὸν εἰς οἶκον κυρίου 
10:36	καὶ τὰ πρωτότοκα υἱῶν ἡμῶν καὶ κτηνῶν ἡμῶν ὡς γέγραπται ἐν τῷ νόμῳ καὶ τὰ πρωτότοκα βοῶν ἡμῶν καὶ ποιμνίων ἡμῶν ἐνέγκαι εἰς οἶκον θεοῦ ἡμῶν τοῖς ἱερεῦσιν τοῖς λειτουργοῦσιν ἐν οἴκῳ θεοῦ ἡμῶν 
10:37	καὶ τὴν ἀπαρχὴν σίτων ἡμῶν καὶ τὸν καρπὸν παντὸς ξύλου οἴνου καὶ ἐλαίου οἴσομεν τοῖς ἱερεῦσιν εἰς γαζοφυλάκιον οἴκου τοῦ θεοῦ καὶ δεκάτην γῆς ἡμῶν τοῖς Λευίταις καὶ αὐτοὶ οἱ Λευῖται δεκατοῦντες ἐν πάσαις πόλεσιν δουλείας ἡμῶν 
10:38	καὶ ἔσται ὁ ἱερεὺς υἱὸς Ααρων μετὰ τοῦ Λευίτου ἐν τῇ δεκάτῃ τοῦ Λευίτου καὶ οἱ Λευῖται ἀνοίσουσιν τὴν δεκάτην τῆς δεκάτης εἰς οἶκον θεοῦ ἡμῶν εἰς τὰ γαζοφυλάκια εἰς οἶκον τοῦ θεοῦ 
10:39	ὅτι εἰς τοὺς θησαυροὺς εἰσοίσουσιν οἱ υἱοὶ Ισραηλ καὶ οἱ υἱοὶ τοῦ Λευι τὰς ἀπαρχὰς τοῦ σίτου καὶ τοῦ οἴνου καὶ τοῦ ἐλαίου καὶ ἐκεῖ σκεύη τὰ ἅγια καὶ οἱ ἱερεῖς οἱ λειτουργοὶ καὶ οἱ πυλωροὶ καὶ οἱ ᾄδοντες καὶ οὐκ ἐγκαταλείψομεν τὸν οἶκον τοῦ θεοῦ ἡμῶν 
11:1	καὶ ἐκάθισαν οἱ ἄρχοντες τοῦ λαοῦ ἐν Ιερουσαλημ καὶ οἱ κατάλοιποι τοῦ λαοῦ ἐβάλοσαν κλήρους ἐνέγκαι ἕνα ἀπὸ τῶν δέκα καθίσαι ἐν Ιερουσαλημ πόλει τῇ ἁγίᾳ καὶ ἐννέα μέρη ἐν ταῖς πόλεσιν 
11:2	καὶ εὐλόγησεν ὁ λαὸς τοὺς πάντας ἄνδρας τοὺς ἑκουσιαζομένους καθίσαι ἐν Ιερουσαλημ 
11:3	καὶ οὗτοι οἱ ἄρχοντες τῆς χώρας οἳ ἐκάθισαν ἐν Ιερουσαλημ καὶ ἐν πόλεσιν Ιουδα ἐκάθισαν ἀνὴρ ἐν κατασχέσει αὐτοῦ ἐν πόλεσιν αὐτῶν Ισραηλ οἱ ἱερεῖς καὶ οἱ Λευῖται καὶ οἱ ναθιναῖοι καὶ οἱ υἱοὶ δούλων Σαλωμων 
11:4	καὶ ἐν Ιερουσαλημ ἐκάθισαν ἀπὸ υἱῶν Ιουδα καὶ ἀπὸ υἱῶν Βενιαμιν ἀπὸ υἱῶν Ιουδα Αθαια υἱὸς Αζαια υἱὸς Ζαχαρια υἱὸς Αμαρια υἱὸς Σαφατια υἱὸς Μαλεληλ καὶ ἀπὸ υἱῶν Φαρες 
11:5	καὶ Μαασια υἱὸς Βαρουχ υἱὸς Χαλαζα υἱὸς Οζια υἱὸς Αδαια υἱὸς Ιωριβ υἱὸς Θηζια υἱὸς τοῦ Σηλωνι 
11:6	πάντες υἱοὶ Φαρες οἱ καθήμενοι ἐν Ιερουσαλημ τετρακόσιοι ἑξήκοντα ὀκτὼ ἄνδρες δυνάμεως 
11:7	καὶ οὗτοι υἱοὶ Βενιαμιν Σηλω υἱὸς Μεσουλαμ υἱὸς Ιωαδ υἱὸς Φαδαια υἱὸς Κωλια υἱὸς Μασαια υἱὸς Αιθιηλ υἱὸς Ιεσια 
11:8	καὶ ὀπίσω αὐτοῦ Γηβι Σηλι ἐννακόσιοι εἴκοσι ὀκτώ 
11:9	καὶ Ιωηλ υἱὸς Ζεχρι ἐπίσκοπος ἐπ᾽ αὐτούς καὶ Ιουδας υἱὸς Ασανα ἐπὶ τῆς πόλεως δεύτερος 
11:10	ἀπὸ τῶν ἱερέων καὶ Ιαδια υἱὸς Ιωριβ Ιαχιν 
11:11	Σαραια υἱὸς Ελκια υἱὸς Μεσουλαμ υἱὸς Σαδδουκ υἱὸς Μαριωθ υἱὸς Αϊτωβ ἀπέναντι οἴκου τοῦ θεοῦ 
11:12	καὶ ἀδελφοὶ αὐτῶν ποιοῦντες τὸ ἔργον τοῦ οἴκου Αμασι υἱὸς Ζαχαρια υἱὸς Φασσουρ υἱὸς Μελχια 
11:13	ἄρχοντες πατριῶν διακόσιοι τεσσαράκοντα δύο καὶ Αμεσσαι υἱὸς Εσδριηλ 
11:14	καὶ ἀδελφοὶ αὐτοῦ δυνατοὶ παρατάξεως ἑκατὸν εἴκοσι ὀκτώ καὶ ἐπίσκοπος ἐπ᾽ αὐτῶν Βαδιηλ 
11:15	καὶ ἀπὸ τῶν Λευιτῶν Σαμαια υἱὸς Ασουβ υἱὸς Εζρι 
11:16	Και κάθισα και ο Yozved για την εξωτερική εργασία του οίκου του Θεού από τους αρχηγούς των Λευιτών 
11:17	καὶ Μαθανια υἱὸς Μιχα καὶ Ωβηδ υἱὸς Σαμουι 
11:18	διακόσιοι ὀγδοήκοντα τέσσαρες 
11:19	καὶ οἱ πυλωροὶ Ακουβ Τελαμιν καὶ οἱ ἀδελφοὶ αὐτῶν ἑκατὸν ἑβδομήκοντα δύο 
11:20	Και ο υπόλοιπος Ισραήλ, οι Λευίτες ιερείς σε όλες τις πόλεις του Ιούδα, ο καθένας στην κατοχή του 
11:21	Και οι υποκείμενοι κάθονται στο Opal, και δεν υπάρχει Vegashfa για τα θέματα σελ 
11:22	καὶ ἐπίσκοπος Λευιτῶν υἱὸς Βανι Οζι υἱὸς Ασαβια υἱὸς Μιχα ἀπὸ υἱῶν Ασαφ τῶν ᾀδόντων ἀπέναντι ἔργου οἴκου τοῦ θεοῦ 
11:23	ὅτι ἐντολὴ τοῦ βασιλέως ἐπ᾽ αὐτούς 
11:24	καὶ Παθαια υἱὸς Βασηζα πρὸς χεῖρα τοῦ βασιλέως εἰς πᾶν ῥῆμα τῷ λαῷ 
11:25	καὶ πρὸς τὰς ἐπαύλεις ἐν ἀγρῷ αὐτῶν καὶ ἀπὸ υἱῶν Ιουδα ἐκάθισαν ἐν Καριαθαρβοκ 
11:26	καὶ ἐν Ιησου 
11:27	καὶ ἐν Βεηρσαβεε 
11:28	και Betzkelg και στον παρονομαστή Και στην Μπαντιά 
11:29	και στο μάτι Ραμόν και λέπρα και στα βουνά 
11:30	καὶ ἐπαύλεις αὐτῶν Λαχις καὶ ἀγροὶ αὐτῆς καὶ παρενεβάλοσαν ἐν Βεηρσαβεε 
11:31	καὶ οἱ υἱοὶ Βενιαμιν ἀπὸ Γαβα Μαχαμας 
11:32	Ανατ Νεβ Ανανία 
11:33	Χαζόρ Ράμα Γκαθ 
11:34	Χαντίντ χρωματιστά ξεχωρίζω 
11:35	Ο Λοντ και ο Όνο και ο Γκάι ο κωφός 
11:36	καὶ ἀπὸ τῶν Λευιτῶν μερίδες Ιουδα τῷ Βενιαμιν 
12:1	καὶ οὗτοι οἱ ἱερεῖς καὶ οἱ Λευῖται οἱ ἀναβαίνοντες μετὰ Ζοροβαβελ υἱοῦ Σαλαθιηλ καὶ Ἰησοῦ Σαραια Ιερμια Εσδρα 
12:2	Αμαρια Μαλουχ 
12:3	Σεχενια 
12:4	αδυα γντυι αβιη 
12:5	δεξιά ένας μάρτυρας βλγη 
12:6	Σμέγια και αντίπαλος Γιαντάγια 
12:7	οὗτοι ἄρχοντες τῶν ἱερέων καὶ ἀδελφοὶ αὐτῶν ἐν ἡμέραις Ἰησοῦ 
12:8	καὶ οἱ Λευῖται Ιησου Βανουι Καδμιηλ Σαραβια Ιουδα Μαχανια ἐπὶ τῶν χειρῶν αὐτὸς καὶ οἱ ἀδελφοὶ αὐτοῦ 
12:9	εἰς τὰς ἐφημερίας 
12:10	καὶ Ἰησοῦς ἐγέννησεν τὸν Ιωακιμ καὶ Ιωακιμ ἐγέννησεν τὸν Ελιασιβ καὶ Ελιασιβ τὸν Ιωδαε 
12:11	καὶ Ιωδαε ἐγέννησεν τὸν Ιωναθαν καὶ Ιωναθαν ἐγέννησεν τὸν Ιαδου 
12:12	καὶ ἐν ἡμέραις Ιωακιμ ἀδελφοὶ αὐτοῦ οἱ ἱερεῖς καὶ οἱ ἄρχοντες τῶν πατριῶν τῷ Σαραια Μαραια τῷ Ιερμια Ανανια 
12:13	τῷ Εσδρα Μεσουλαμ τῷ Αμαρια Ιωαναν 
12:14	τῷ Μαλουχ Ιωναθαν τῷ Σεχενια Ιωσηφ 
12:15	τῷ Αρεμ Αδνας τῷ Μαριωθ Ελκαι 
12:16	τῷ Αδδαι Ζαχαριας τῷ Γαναθων Μοσολλαμ 
12:17	τῷ Αβια Ζεχρι τῷ Βενιαμιν ἐν καιροῖς τῷ Φελητι 
12:18	τῷ Βαλγα Σαμουε τῷ Σεμεια Ιωναθαν 
12:19	τῷ Ιωιαριβ Μαθθαναι τῷ Ιδια Οζι 
12:20	τῷ Σαλλαι Καλλαι τῷ Αμουκ Αβεδ 
12:21	τῷ Ελκια Ασαβιας τῷ Ιεδεϊου Ναθαναηλ 
12:22	οἱ Λευῖται ἐν ἡμέραις Ελιασιβ Ιωαδα καὶ Ιωαναν καὶ Ιδουα γεγραμμένοι ἄρχοντες πατριῶν καὶ οἱ ἱερεῖς ἐν βασιλείᾳ Δαρείου τοῦ Πέρσου 
12:23	υἱοὶ Λευι ἄρχοντες τῶν πατριῶν γεγραμμένοι ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν καὶ ἕως ἡμερῶν Ιωαναν υἱοῦ Ελισουβ 
12:24	καὶ ἄρχοντες τῶν Λευιτῶν Ασαβια καὶ Σαραβια καὶ Ιησου καὶ υἱοὶ Καδμιηλ καὶ οἱ ἀδελφοὶ αὐτῶν κατεναντίον αὐτῶν εἰς ὑμνεῖν καὶ αἰνεῖν ἐν ἐντολῇ Δαυιδ ἀνθρώπου τοῦ θεοῦ ἐφημερία πρὸς ἐφημερίαν 
12:25	ἐν τῷ συναγαγεῖν με τοὺς πυλωροὺς 
12:26	ἐν ἡμέραις Ιωακιμ υἱοῦ Ἰησοῦ υἱοῦ Ιωσεδεκ καὶ ἐν ἡμέραις Νεεμια καὶ Εσδρας ὁ ἱερεὺς ὁ γραμματεύς 
12:27	καὶ ἐν ἐγκαινίοις τείχους Ιερουσαλημ ἐζήτησαν τοὺς Λευίτας ἐν τοῖς τόποις αὐτῶν τοῦ ἐνέγκαι αὐτοὺς εἰς Ιερουσαλημ ποιῆσαι ἐγκαίνια καὶ εὐφροσύνην ἐν θωδαθα καὶ ἐν ᾠδαῖς κυμβαλίζοντες καὶ ψαλτήρια καὶ κινύραι 
