‎Genesis 
1:1	ἐν ἀρχῇ ἐποίησεν ὁ θεὸς τὸν οὐρανὸν καὶ τὴν γῆν 
28:15	οὐ δώσει συγκλεισμὸν ἀντ᾽ αὐτῆς καὶ οὐ σταθήσεται ἀργύριον ἀντάλλαγμα αὐτῆς 
28:16	καὶ οὐ συμβασταχθήσεται χρυσίῳ Ωφιρ ἐν ὄνυχι τιμίῳ καὶ σαπφείρῳ 
28:17	οὐκ ἰσωθήσεται αὐτῇ χρυσίον καὶ ὕαλος καὶ τὸ ἄλλαγμα αὐτῆς σκεύη χρυσᾶ 
28:18	μετέωρα καὶ γαβις οὐ μνησθήσεται καὶ ἕλκυσον σοφίαν ὑπὲρ τὰ ἐσώτατα 
28:19	οὐκ ἰσωθήσεται αὐτῇ τοπάζιον Αἰθιοπίας χρυσίῳ καθαρῷ οὐ συμβασταχθήσεται 
28:20	ἡ δὲ σοφία πόθεν εὑρέθη ποῖος δὲ τόπος ἐστὶν τῆς συνέσεως 
28:21	λέληθεν πάντα ἄνθρωπον καὶ ἀπὸ πετεινῶν τοῦ οὐρανοῦ ἐκρύβη 
28:22	ἡ ἀπώλεια καὶ ὁ θάνατος εἶπαν ἀκηκόαμεν δὲ αὐτῆς τὸ κλέος 
28:23	ὁ θεὸς εὖ συνέστησεν αὐτῆς τὴν ὁδόν αὐτὸς δὲ οἶδεν τὸν τόπον αὐτῆς 
28:24	αὐτὸς γὰρ τὴν ὑπ᾽ οὐρανὸν πᾶσαν ἐφορᾷ εἰδὼς τὰ ἐν τῇ γῇ πάντα ἃ ἐποίησεν 
28:25	ἀνέμων σταθμὸν ὕδατός τε μέτρα 
28:26	ὅτε ἐποίησεν οὕτως ὑετὸν ἠρίθμησεν καὶ ὁδὸν ἐν τινάγματι φωνάς 
28:27	τότε εἶδεν αὐτὴν καὶ ἐξηγήσατο αὐτήν ἑτοιμάσας ἐξιχνίασεν 
28:28	εἶπεν δὲ ἀνθρώπῳ ἰδοὺ ἡ θεοσέβειά ἐστιν σοφία τὸ δὲ ἀπέχεσθαι ἀπὸ κακῶν ἐστιν ἐπιστήμη 
29:1	ἔτι δὲ προσθεὶς Ιωβ εἶπεν τῷ προοιμίῳ 
29:2	τίς ἄν με θείη κατὰ μῆνα ἔμπροσθεν ἡμερῶν ὧν με ὁ θεὸς ἐφύλαξεν 
29:3	ὡς ὅτε ηὔγει ὁ λύχνος αὐτοῦ ὑπὲρ κεφαλῆς μου ὅτε τῷ φωτὶ αὐτοῦ ἐπορευόμην ἐν σκότει 
29:4	ὅτε ἤμην ἐπιβρίθων ὁδοῖς ὅτε ὁ θεὸς ἐπισκοπὴν ἐποιεῖτο τοῦ οἴκου μου 
29:5	ὅτε ἤμην ὑλώδης λίαν κύκλῳ δέ μου οἱ παῖδες 
29:6	ὅτε ἐχέοντό μου αἱ ὁδοὶ βουτύρῳ τὰ δὲ ὄρη μου ἐχέοντο γάλακτι 
29:7	ὅτε ἐξεπορευόμην ὄρθριος ἐν πόλει ἐν δὲ πλατείαις ἐτίθετό μου ὁ δίφρος 
29:8	ἰδόντες με νεανίσκοι ἐκρύβησαν πρεσβῦται δὲ πάντες ἔστησαν 
29:9	ἁδροὶ δὲ ἐπαύσαντο λαλοῦντες δάκτυλον ἐπιθέντες ἐπὶ στόματι 
29:10	οἱ δὲ ἀκούσαντες ἐμακάρισάν με καὶ γλῶσσα αὐτῶν τῷ λάρυγγι αὐτῶν ἐκολλήθη 
29:11	ὅτι οὖς ἤκουσεν καὶ ἐμακάρισέν με ὀφθαλμὸς δὲ ἰδών με ἐξέκλινεν 
29:12	διέσωσα γὰρ πτωχὸν ἐκ χειρὸς δυνάστου καὶ ὀρφανῷ ᾧ οὐκ ἦν βοηθός ἐβοήθησα 
29:13	εὐλογία ἀπολλυμένου ἐπ᾽ ἐμὲ ἔλθοι στόμα δὲ χήρας με εὐλόγησεν 
29:14	δικαιοσύνην δὲ ἐνεδεδύκειν ἠμφιασάμην δὲ κρίμα ἴσα διπλοΐδι 
29:15	ὀφθαλμὸς ἤμην τυφλῶν ποὺς δὲ χωλῶν 
29:16	ἐγὼ ἤμην πατὴρ ἀδυνάτων δίκην δέ ἣν οὐκ ᾔδειν ἐξιχνίασα 
29:17	συνέτριψα δὲ μύλας ἀδίκων ἐκ δὲ μέσου τῶν ὀδόντων αὐτῶν ἅρπαγμα ἐξέσπασα 
29:18	εἶπα δέ ἡ ἡλικία μου γηράσει ὥσπερ στέλεχος φοίνικος πολὺν χρόνον βιώσω 
29:19	ἡ ῥίζα μου διήνοικται ἐπὶ ὕδατος καὶ δρόσος αὐλισθήσεται ἐν τῷ θερισμῷ μου 
29:20	ἡ δόξα μου καινὴ μετ᾽ ἐμοῦ καὶ τὸ τόξον μου ἐν χειρὶ αὐτοῦ πορεύσεται 
29:21	ἐμοῦ ἀκούσαντες προσέσχον ἐσιώπησαν δὲ ἐπὶ τῇ ἐμῇ βουλῇ 
29:22	ἐπὶ δὲ τῷ ἐμῷ ῥήματι οὐ προσέθεντο περιχαρεῖς δὲ ἐγίνοντο ὁπόταν αὐτοῖς ἐλάλουν 
29:23	ὥσπερ γῆ διψῶσα προσδεχομένη τὸν ὑετόν οὕτως οὗτοι τὴν ἐμὴν λαλιάν 
29:24	ἐὰν γελάσω πρὸς αὐτούς οὐ μὴ πιστεύσωσιν καὶ φῶς τοῦ προσώπου μου οὐκ ἀπέπιπτεν 
29:25	ἐξελεξάμην ὁδὸν αὐτῶν καὶ ἐκάθισα ἄρχων καὶ κατεσκήνουν ὡσεὶ βασιλεὺς ἐν μονοζώνοις ὃν τρόπον παθεινοὺς παρακαλῶν 
30:1	νυνὶ δὲ κατεγέλασάν μου ἐλάχιστοι νῦν νουθετοῦσίν με ἐν μέρει ὧν ἐξουδένουν πατέρας αὐτῶν οὓς οὐχ ἡγησάμην εἶναι ἀξίους κυνῶν τῶν ἐμῶν νομάδων 
30:2	καί γε ἰσχὺς χειρῶν αὐτῶν ἵνα τί μοι ἐπ᾽ αὐτοὺς ἀπώλετο συντέλεια 
30:3	ἐν ἐνδείᾳ καὶ λιμῷ ἄγονος οἱ φεύγοντες ἄνυδρον ἐχθὲς συνοχὴν καὶ ταλαιπωρίαν 
30:4	οἱ περικλῶντες ἅλιμα ἐπὶ ἠχοῦντι οἵτινες ἅλιμα ἦν αὐτῶν τὰ σῖτα ἄτιμοι δὲ καὶ πεφαυλισμένοι ἐνδεεῖς παντὸς ἀγαθοῦ οἳ καὶ ῥίζας ξύλων ἐμασῶντο ὑπὸ λιμοῦ μεγάλου 
30:5	ἐπανέστησάν μοι κλέπται 
30:6	ὧν οἱ οἶκοι αὐτῶν ἦσαν τρῶγλαι πετρῶν 
30:7	ἀνὰ μέσον εὐήχων βοήσονται οἳ ὑπὸ φρύγανα ἄγρια διῃτῶντο 
30:8	ἀφρόνων υἱοὶ καὶ ἀτίμων ὄνομα καὶ κλέος ἐσβεσμένον ἀπὸ γῆς 
30:9	νυνὶ δὲ κιθάρα ἐγώ εἰμι αὐτῶν καὶ ἐμὲ θρύλημα ἔχουσιν 
30:10	ἐβδελύξαντο δέ με ἀποστάντες μακράν ἀπὸ δὲ προσώπου μου οὐκ ἐφείσαντο πτύελον 
30:11	ἀνοίξας γὰρ φαρέτραν αὐτοῦ ἐκάκωσέν με καὶ χαλινὸν τοῦ προσώπου μου ἐξαπέστειλαν 
30:12	ἐπὶ δεξιῶν βλαστοῦ ἐπανέστησαν πόδα αὐτῶν ἐξέτειναν καὶ ὡδοποίησαν ἐπ᾽ ἐμὲ τρίβους ἀπωλείας αὐτῶν 
30:13	ἐξετρίβησαν τρίβοι μου ἐξέδυσεν γάρ μου τὴν στολήν 
30:14	βέλεσιν αὐτοῦ κατηκόντισέν με κέχρηταί μοι ὡς βούλεται ἐν ὀδύναις πέφυρμαι 
30:15	ἐπιστρέφονται δέ μου αἱ ὀδύναι ᾤχετό μου ἡ ἐλπὶς ὥσπερ πνεῦμα καὶ ὥσπερ νέφος ἡ σωτηρία μου 
30:16	καὶ νῦν ἐπ᾽ ἐμὲ ἐκχυθήσεται ἡ ψυχή μου ἔχουσιν δέ με ἡμέραι ὀδυνῶν 
30:17	νυκτὶ δέ μου τὰ ὀστᾶ συγκέκαυται τὰ δὲ νεῦρά μου διαλέλυται 
30:18	ἐν πολλῇ ἰσχύι ἐπελάβετό μου τῆς στολῆς ὥσπερ τὸ περιστόμιον τοῦ χιτῶνός μου περιέσχεν με 
30:19	ἥγησαι δέ με ἴσα πηλῷ ἐν γῇ καὶ σποδῷ μου ἡ μερίς 
30:20	κέκραγα δὲ πρὸς σὲ καὶ οὐκ εἰσακούεις μου ἔστησαν καὶ κατενόησάν με 
30:21	ἐπέβης δέ μοι ἀνελεημόνως χειρὶ κραταιᾷ με ἐμαστίγωσας 
30:22	ἔταξας δέ με ἐν ὀδύναις καὶ ἀπέρριψάς με ἀπὸ σωτηρίας 
30:23	οἶδα γὰρ ὅτι θάνατός με ἐκτρίψει οἰκία γὰρ παντὶ θνητῷ γῆ 
30:24	εἰ γὰρ ὄφελον δυναίμην ἐμαυτὸν χειρώσασθαι ἢ δεηθείς γε ἑτέρου καὶ ποιήσει μοι τοῦτο 
30:25	ἐγὼ δὲ ἐπὶ παντὶ ἀδυνάτῳ ἔκλαυσα ἐστέναξα δὲ ἰδὼν ἄνδρα ἐν ἀνάγκαις 
30:26	ἐγὼ δὲ ἐπέχων ἀγαθοῖς ἰδοὺ συνήντησάν μοι μᾶλλον ἡμέραι κακῶν 
30:27	ἡ κοιλία μου ἐξέζεσεν καὶ οὐ σιωπήσεται προέφθασάν με ἡμέραι πτωχείας 
30:28	στένων πεπόρευμαι ἄνευ φιμοῦ ἕστηκα δὲ ἐν ἐκκλησίᾳ κεκραγώς 
30:29	ἀδελφὸς γέγονα σειρήνων ἑταῖρος δὲ στρουθῶν 
30:30	τὸ δὲ δέρμα μου ἐσκότωται μεγάλως τὰ δὲ ὀστᾶ μου ἀπὸ καύματος 
30:31	ἀπέβη δὲ εἰς πάθος μου ἡ κιθάρα ὁ δὲ ψαλμός μου εἰς κλαυθμὸν ἐμοί 
31:1	διαθήκην ἐθέμην τοῖς ὀφθαλμοῖς μου καὶ οὐ συνήσω ἐπὶ παρθένον 
31:2	καὶ τί ἐμέρισεν ὁ θεὸς ἀπάνωθεν καὶ κληρονομία ἱκανοῦ ἐξ ὑψίστων 
31:3	οὐχὶ ἀπώλεια τῷ ἀδίκῳ καὶ ἀπαλλοτρίωσις τοῖς ποιοῦσιν ἀνομίαν 
31:4	οὐχὶ αὐτὸς ὄψεται ὁδόν μου καὶ πάντα τὰ διαβήματά μου ἐξαριθμήσεται 
31:5	εἰ δὲ ἤμην πεπορευμένος μετὰ γελοιαστῶν εἰ δὲ καὶ ἐσπούδασεν ὁ πούς μου εἰς δόλον 
31:6	ἱσταίη με ἄρα ἐν ζυγῷ δικαίῳ οἶδεν δὲ ὁ κύριος τὴν ἀκακίαν μου 
31:7	εἰ ἐξέκλινεν ὁ πούς μου ἐκ τῆς ὁδοῦ εἰ δὲ καὶ τῷ ὀφθαλμῷ ἐπηκολούθησεν ἡ καρδία μου εἰ δὲ καὶ ταῖς χερσίν μου ἡψάμην δώρων 
31:8	σπείραιμι ἄρα καὶ ἄλλοι φάγοισαν ἄρριζος δὲ γενοίμην ἐπὶ γῆς 
31:9	εἰ ἐξηκολούθησεν ἡ καρδία μου γυναικὶ ἀνδρὸς ἑτέρου εἰ καὶ ἐγκάθετος ἐγενόμην ἐπὶ θύραις αὐτῆς 
31:10	ἀρέσαι ἄρα καὶ ἡ γυνή μου ἑτέρῳ τὰ δὲ νήπιά μου ταπεινωθείη 
31:11	θυμὸς γὰρ ὀργῆς ἀκατάσχετος τὸ μιᾶναι ἀνδρὸς γυναῖκα 
31:12	πῦρ γάρ ἐστιν καιόμενον ἐπὶ πάντων τῶν μερῶν οὗ δ᾽ ἂν ἐπέλθῃ ἐκ ῥιζῶν ἀπώλεσεν 
31:13	εἰ δὲ καὶ ἐφαύλισα κρίμα θεράποντός μου ἢ θεραπαίνης κρινομένων αὐτῶν πρός με 
31:14	τί γὰρ ποιήσω ἐὰν ἔτασίν μου ποιήσηται ὁ κύριος ἐὰν δὲ καὶ ἐπισκοπήν τίνα ἀπόκρισιν ποιήσομαι 
31:15	πότερον οὐχ ὡς καὶ ἐγὼ ἐγενόμην ἐν γαστρί καὶ ἐκεῖνοι γεγόνασιν γεγόναμεν δὲ ἐν τῇ αὐτῇ κοιλίᾳ 
31:16	ἀδύνατοι δὲ χρείαν ἥν ποτ᾽ εἶχον οὐκ ἀπέτυχον χήρας δὲ τὸν ὀφθαλμὸν οὐκ ἐξέτηξα 
31:17	εἰ δὲ καὶ τὸν ψωμόν μου ἔφαγον μόνος καὶ οὐχὶ ὀρφανῷ μετέδωκα 
31:18	ὅτι ἐκ νεότητός μου ἐξέτρεφον ὡς πατὴρ καὶ ἐκ γαστρὸς μητρός μου ὡδήγησα 
31:19	εἰ δὲ καὶ ὑπερεῖδον γυμνὸν ἀπολλύμενον καὶ οὐκ ἠμφίασα 
31:20	ἀδύνατοι δὲ εἰ μὴ εὐλόγησάν με ἀπὸ δὲ κουρᾶς ἀμνῶν μου ἐθερμάνθησαν οἱ ὦμοι αὐτῶν 
31:21	εἰ ἐπῆρα ὀρφανῷ χεῖρα πεποιθὼς ὅτι πολλή μοι βοήθεια περίεστιν 
31:22	ἀποσταίη ἄρα ὁ ὦμός μου ἀπὸ τῆς κλειδός ὁ δὲ βραχίων μου ἀπὸ τοῦ ἀγκῶνός μου συντριβείη 
31:23	φόβος γὰρ κυρίου συνέσχεν με καὶ ἀπὸ τοῦ λήμματος αὐτοῦ οὐχ ὑποίσω 
31:24	εἰ ἔταξα χρυσίον ἰσχύν μου εἰ δὲ καὶ λίθῳ πολυτελεῖ ἐπεποίθησα 
31:25	εἰ δὲ καὶ εὐφράνθην πολλοῦ πλούτου μοι γενομένου εἰ δὲ καὶ ἐπ᾽ ἀναριθμήτοις ἐθέμην χεῖρά μου 
31:26	ἦ οὐχ ὁρῶ μὲν ἥλιον τὸν ἐπιφαύσκοντα ἐκλείποντα σελήνην δὲ φθίνουσαν οὐ γὰρ ἐπ᾽ αὐτοῖς ἐστιν 
31:27	καὶ εἰ ἠπατήθη λάθρᾳ ἡ καρδία μου εἰ δὲ καὶ χεῖρά μου ἐπιθεὶς ἐπὶ στόματί μου ἐφίλησα 
31:28	καὶ τοῦτό μοι ἄρα ἀνομία ἡ μεγίστη λογισθείη ὅτι ἐψευσάμην ἐναντίον κυρίου τοῦ ὑψίστου 
31:29	εἰ δὲ καὶ ἐπιχαρὴς ἐγενόμην πτώματι ἐχθρῶν μου καὶ εἶπεν ἡ καρδία μου εὖγε 
31:30	ἀκούσαι ἄρα τὸ οὖς μου τὴν κατάραν μου θρυληθείην δὲ ἄρα ὑπὸ λαοῦ μου κακούμενος 
31:31	εἰ δὲ καὶ πολλάκις εἶπον αἱ θεράπαιναί μου τίς ἂν δῴη ἡμῖν τῶν σαρκῶν αὐτοῦ πλησθῆναι λίαν μου χρηστοῦ ὄντος 
31:32	ἔξω δὲ οὐκ ηὐλίζετο ξένος ἡ δὲ θύρα μου παντὶ ἐλθόντι ἀνέῳκτο 
31:33	εἰ δὲ καὶ ἁμαρτὼν ἀκουσίως ἔκρυψα τὴν ἁμαρτίαν μου 
31:34	οὐ γὰρ διετράπην πολυοχλίαν πλήθους τοῦ μὴ ἐξαγορεῦσαι ἐνώπιον αὐτῶν εἰ δὲ καὶ εἴασα ἀδύνατον ἐξελθεῖν θύραν μου κόλπῳ κενῷ 
31:35	τίς δῴη ἀκούοντά μου χεῖρα δὲ κυρίου εἰ μὴ ἐδεδοίκειν συγγραφὴν δέ ἣν εἶχον κατά τινος 
31:36	ἐπ᾽ ὤμοις ἂν περιθέμενος στέφανον ἀνεγίνωσκον 
31:37	καὶ εἰ μὴ ῥήξας αὐτὴν ἀπέδωκα οὐθὲν λαβὼν παρὰ χρεοφειλέτου 
31:38	εἰ ἐπ᾽ ἐμοί ποτε ἡ γῆ ἐστέναξεν εἰ δὲ καὶ οἱ αὔλακες αὐτῆς ἔκλαυσαν ὁμοθυμαδόν 
31:39	εἰ δὲ καὶ τὴν ἰσχὺν αὐτῆς ἔφαγον μόνος ἄνευ τιμῆς εἰ δὲ καὶ ψυχὴν κυρίου τῆς γῆς ἐκβαλὼν ἐλύπησα 
31:40	ἀντὶ πυροῦ ἄρα ἐξέλθοι μοι κνίδη ἀντὶ δὲ κριθῆς βάτος καὶ ἐπαύσατο Ιωβ ῥήμασιν 
32:1	ἡσύχασαν δὲ καὶ οἱ τρεῖς φίλοι αὐτοῦ ἔτι ἀντειπεῖν Ιωβ ἦν γὰρ Ιωβ δίκαιος ἐναντίον αὐτῶν 
32:2	ὠργίσθη δὲ Ελιους ὁ τοῦ Βαραχιηλ ὁ Βουζίτης ἐκ τῆς συγγενείας Ραμ τῆς Αυσίτιδος χώρας ὠργίσθη δὲ τῷ Ιωβ σφόδρα διότι ἀπέφηνεν ἑαυτὸν δίκαιον ἐναντίον κυρίου 
32:3	καὶ κατὰ τῶν τριῶν δὲ φίλων ὠργίσθη σφόδρα διότι οὐκ ἠδυνήθησαν ἀποκριθῆναι ἀντίθετα Ιωβ καὶ ἔθεντο αὐτὸν εἶναι ἀσεβῆ 
32:4	Ελιους δὲ ὑπέμεινεν δοῦναι ἀπόκρισιν Ιωβ ὅτι πρεσβύτεροι αὐτοῦ εἰσιν ἡμέραις 
32:5	καὶ εἶδεν Ελιους ὅτι οὐκ ἔστιν ἀπόκρισις ἐν στόματι τῶν τριῶν ἀνδρῶν καὶ ἐθυμώθη ὀργὴ αὐτοῦ 
32:6	ὑπολαβὼν δὲ Ελιους ὁ τοῦ Βαραχιηλ ὁ Βουζίτης εἶπεν νεώτερος μέν εἰμι τῷ χρόνῳ ὑμεῖς δέ ἐστε πρεσβύτεροι διὸ ἡσύχασα φοβηθεὶς τοῦ ὑμῖν ἀναγγεῖλαι τὴν ἐμαυτοῦ ἐπιστήμην 
32:7	εἶπα δὲ ὅτι ὁ χρόνος ἐστὶν ὁ λαλῶν ἐν πολλοῖς δὲ ἔτεσιν οἴδασιν σοφίαν 
32:8	ἀλλὰ πνεῦμά ἐστιν ἐν βροτοῖς πνοὴ δὲ παντοκράτορός ἐστιν ἡ διδάσκουσα 
32:9	οὐχ οἱ πολυχρόνιοί εἰσιν σοφοί οὐδ᾽ οἱ γέροντες οἴδασιν κρίμα 
32:10	διὸ εἶπα ἀκούσατέ μου καὶ ἀναγγελῶ ὑμῖν ἃ οἶδα 
32:11	ἐνωτίζεσθέ μου τὰ ῥήματα ἐρῶ γὰρ ὑμῶν ἀκουόντων ἄχρι οὗ ἐτάσητε λόγους 
32:12	καὶ μέχρι ὑμῶν συνήσω καὶ ἰδοὺ οὐκ ἦν τῷ Ιωβ ἐλέγχων ἀνταποκρινόμενος ῥήματα αὐτοῦ ἐξ ὑμῶν 
32:13	ἵνα μὴ εἴπητε εὕρομεν σοφίαν κυρίῳ προσθέμενοι 
32:14	ἀνθρώπῳ δὲ ἐπετρέψατε λαλῆσαι τοιαῦτα ῥήματα 
32:15	ἐπτοήθησαν οὐκ ἀπεκρίθησαν ἔτι ἐπαλαίωσαν ἐξ αὐτῶν λόγους 
32:16	ὑπέμεινα οὐ γὰρ ἐλάλησαν ὅτι ἔστησαν οὐκ ἀπεκρίθησαν 
32:17	ὑπολαβὼν δὲ Ελιους λέγει 
32:18	πάλιν λαλήσω πλήρης γάρ εἰμι ῥημάτων ὀλέκει γάρ με τὸ πνεῦμα τῆς γαστρός 
32:19	ἡ δὲ γαστήρ μου ὥσπερ ἀσκὸς γλεύκους ζέων δεδεμένος ἢ ὥσπερ φυσητὴρ χαλκέως ἐρρηγώς 
32:20	λαλήσω ἵνα ἀναπαύσωμαι ἀνοίξας τὰ χείλη 
32:21	ἄνθρωπον γὰρ οὐ μὴ αἰσχυνθῶ ἀλλὰ μὴν οὐδὲ βροτὸν οὐ μὴ ἐντραπῶ 
32:22	οὐ γὰρ ἐπίσταμαι θαυμάσαι πρόσωπον εἰ δὲ μή καὶ ἐμὲ σῆτες ἔδονται 
33:1	οὐ μὴν δὲ ἀλλὰ ἄκουσον Ιωβ τὰ ῥήματά μου καὶ λαλιὰν ἐνωτίζου μου 
33:2	ἰδοὺ γὰρ ἤνοιξα τὸ στόμα μου καὶ ἐλάλησεν ἡ γλῶσσά μου 
33:3	καθαρά μου ἡ καρδία ῥήμασιν σύνεσις δὲ χειλέων μου καθαρὰ νοήσει 
33:4	πνεῦμα θεῖον τὸ ποιῆσάν με πνοὴ δὲ παντοκράτορος ἡ διδάσκουσά με 
33:5	ἐὰν δύνῃ δός μοι ἀπόκρισιν πρὸς ταῦτα ὑπόμεινον στῆθι κατ᾽ ἐμὲ καὶ ἐγὼ κατὰ σέ 
33:6	ἐκ πηλοῦ διήρτισαι σὺ ὡς καὶ ἐγώ ἐκ τοῦ αὐτοῦ διηρτίσμεθα 
33:7	οὐχ ὁ φόβος μού σε στροβήσει οὐδὲ ἡ χείρ μου βαρεῖα ἔσται ἐπὶ σοί 
33:8	πλὴν εἶπας ἐν ὠσίν μου φωνὴν ῥημάτων σου ἀκήκοα 
33:9	διότι λέγεις καθαρός εἰμι οὐχ ἁμαρτών ἄμεμπτος δέ εἰμι οὐ γὰρ ἠνόμησα 
33:10	μέμψιν δὲ κατ᾽ ἐμοῦ εὗρεν ἥγηται δέ με ὥσπερ ὑπεναντίον 
33:11	ἔθετο δὲ ἐν ξύλῳ τὸν πόδα μου ἐφύλαξεν δέ μου πάσας τὰς ὁδούς 
33:12	πῶς γὰρ λέγεις δίκαιός εἰμι καὶ οὐκ ἐπακήκοέν μου αἰώνιος γάρ ἐστιν ὁ ἐπάνω βροτῶν 
33:13	λέγεις δέ διὰ τί τῆς δίκης μου οὐκ ἐπακήκοεν πᾶν ῥῆμα 
33:14	ἐν γὰρ τῷ ἅπαξ λαλήσαι ὁ κύριος ἐν δὲ τῷ δευτέρῳ ἐνύπνιον 
33:15	ἢ ἐν μελέτῃ νυκτερινῇ ὡς ὅταν ἐπιπίπτῃ δεινὸς φόβος ἐπ᾽ ἀνθρώπους ἐπὶ νυσταγμάτων ἐπὶ κοίτης 
33:16	τότε ἀνακαλύπτει νοῦν ἀνθρώπων ἐν εἴδεσιν φόβου τοιούτοις αὐτοὺς ἐξεφόβησεν 
33:17	ἀποστρέψαι ἄνθρωπον ἐξ ἀδικίας τὸ δὲ σῶμα αὐτοῦ ἀπὸ πτώματος ἐρρύσατο 
33:18	ἐφείσατο δὲ τῆς ψυχῆς αὐτοῦ ἀπὸ θανάτου καὶ μὴ πεσεῖν αὐτὸν ἐν πολέμῳ 
33:19	πάλιν δὲ ἤλεγξεν αὐτὸν ἐν μαλακίᾳ ἐπὶ κοίτης καὶ πλῆθος ὀστῶν αὐτοῦ ἐνάρκησεν 
33:20	πᾶν δὲ βρωτὸν σίτου οὐ μὴ δύνηται προσδέξασθαι καὶ ἡ ψυχὴ αὐτοῦ βρῶσιν ἐπιθυμήσει 
33:21	ἕως ἂν σαπῶσιν αὐτοῦ αἱ σάρκες καὶ ἀποδείξῃ τὰ ὀστᾶ αὐτοῦ κενά 
33:22	ἤγγισεν δὲ εἰς θάνατον ἡ ψυχὴ αὐτοῦ ἡ δὲ ζωὴ αὐτοῦ ἐν ᾅδῃ 
33:23	ἐὰν ὦσιν χίλιοι ἄγγελοι θανατηφόροι εἷς αὐτῶν οὐ μὴ τρώσῃ αὐτόν ἐὰν νοήσῃ τῇ καρδίᾳ ἐπιστραφῆναι ἐπὶ κύριον ἀναγγείλῃ δὲ ἀνθρώπῳ τὴν ἑαυτοῦ μέμψιν τὴν δὲ ἄνοιαν αὐτοῦ δείξῃ 
33:24	ἀνθέξεται τοῦ μὴ πεσεῖν αὐτὸν εἰς θάνατον ἀνανεώσει δὲ αὐτοῦ τὸ σῶμα ὥσπερ ἀλοιφὴν ἐπὶ τοίχου τὰ δὲ ὀστᾶ αὐτοῦ ἐμπλήσει μυελοῦ 
33:25	ἁπαλυνεῖ δὲ αὐτοῦ τὰς σάρκας ὥσπερ νηπίου ἀποκαταστήσει δὲ αὐτὸν ἀνδρωθέντα ἐν ἀνθρώποις 
33:26	εὐξάμενος δὲ πρὸς κύριον καὶ δεκτὰ αὐτῷ ἔσται εἰσελεύσεται δὲ προσώπῳ καθαρῷ σὺν ἐξηγορίᾳ ἀποδώσει δὲ ἀνθρώποις δικαιοσύνην 
33:27	εἶτα τότε ἀπομέμψεται ἄνθρωπος αὐτὸς ἑαυτῷ λέγων οἷα συνετέλουν καὶ οὐκ ἄξια ἤτασέν με ὧν ἥμαρτον 
33:28	σῶσον ψυχήν μου τοῦ μὴ ἐλθεῖν εἰς διαφθοράν καὶ ἡ ζωή μου φῶς ὄψεται 
33:29	ἰδοὺ πάντα ταῦτα ἐργᾶται ὁ ἰσχυρὸς ὁδοὺς τρεῖς μετὰ ἀνδρός 
33:30	ἀλλ᾽ ἐρρύσατο τὴν ψυχήν μου ἐκ θανάτου ἵνα ἡ ζωή μου ἐν φωτὶ αἰνῇ αὐτόν 
33:31	ἐνωτίζου Ιωβ καὶ ἄκουέ μου κώφευσον καὶ ἐγώ εἰμι λαλήσω 
33:32	εἰ εἰσὶν λόγοι ἀποκρίθητί μοι λάλησον θέλω γὰρ δικαιωθῆναί σε 
33:33	εἰ μή σὺ ἄκουσόν μου κώφευσον καὶ διδάξω σε σοφίαν 
34:1	ὑπολαβὼν δὲ Ελιους λέγει 
34:2	ἀκούσατέ μου σοφοί ἐπιστάμενοι ἐνωτίζεσθε τὸ καλόν 
34:3	ὅτι οὖς λόγους δοκιμάζει καὶ λάρυγξ γεύεται βρῶσιν 
34:4	κρίσιν ἑλώμεθα ἑαυτοῖς γνῶμεν ἀνὰ μέσον ἑαυτῶν ὅ τι καλόν 
34:5	ὅτι εἴρηκεν Ιωβ δίκαιός εἰμι ὁ κύριος ἀπήλλαξέν μου τὸ κρίμα 
34:6	ἐψεύσατο δὲ τῷ κρίματί μου βίαιον τὸ βέλος μου ἄνευ ἀδικίας 
34:7	τίς ἀνὴρ ὥσπερ Ιωβ πίνων μυκτηρισμὸν ὥσπερ ὕδωρ 
34:8	οὐχ ἁμαρτὼν οὐδὲ ἀσεβήσας ἢ ὁδοῦ κοινωνήσας μετὰ ποιούντων τὰ ἄνομα τοῦ πορευθῆναι μετὰ ἀσεβῶν 
34:9	μὴ γὰρ εἴπῃς ὅτι οὐκ ἔσται ἐπισκοπὴ ἀνδρός καὶ ἐπισκοπὴ αὐτῷ παρὰ κυρίου 
34:10	διό συνετοὶ καρδίας ἀκούσατέ μου μή μοι εἴη ἔναντι κυρίου ἀσεβῆσαι καὶ ἔναντι παντοκράτορος ταράξαι τὸ δίκαιον 
34:11	ἀλλὰ ἀποδιδοῖ ἀνθρώπῳ καθὰ ποιεῖ ἕκαστος αὐτῶν καὶ ἐν τρίβῳ ἀνδρὸς εὑρήσει αὐτόν 
34:12	οἴῃ δὲ τὸν κύριον ἄτοπα ποιήσειν ἢ ὁ παντοκράτωρ ταράξει κρίσιν 
34:13	ὃς ἐποίησεν τὴν γῆν τίς δέ ἐστιν ὁ ποιῶν τὴν ὑπ᾽ οὐρανὸν καὶ τὰ ἐνόντα πάντα 
34:14	εἰ γὰρ βούλοιτο συνέχειν καὶ τὸ πνεῦμα παρ᾽ αὐτῷ κατασχεῖν 
34:15	τελευτήσει πᾶσα σὰρξ ὁμοθυμαδόν πᾶς δὲ βροτὸς εἰς γῆν ἀπελεύσεται ὅθεν καὶ ἐπλάσθη 
